id,Evakuasi,kor_lat,kor_lon,Alamat_ID,Alamat_EN
157,Masjid As-Sakinah Alun-Alun Surabaya,-7.263,112.745,"DPRD Kota Surabaya, Jalan Yos Sudarso, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","DPRD Kota Surabaya, Jalan Yos Sudarso, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
158,DPRD Kota Surabaya,-7.263,112.745,"DPRD Kota Surabaya, Jalan Yos Sudarso, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","DPRD Kota Surabaya, Jalan Yos Sudarso, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
159,Rumah Bahasa Surabaya,-7.263,112.745,"DPRD Kota Surabaya, Jalan Yos Sudarso, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","DPRD Kota Surabaya, Jalan Yos Sudarso, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
160,Balai Pemuda Surabaya,-7.264,112.745,"RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 68485, Indonesia","RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 68485, Indonesia"
161,Grand Surabaya Hotel,-7.264,112.747,"Jalan Taman Simpang, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","Jalan Taman Simpang, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
162,Garden Palace Hotel Surabaya,-7.263,112.747,"Jalan Taman Simpang, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","Jalan Taman Simpang, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
163,GTI Bukit Zaitun,-7.262,112.747,"Kali, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","Kali, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
164,WTC Surabaya,-7.263,112.748,"World Trade Center, Jalan Plaza Boulevard, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","World Trade Center, Jalan Plaza Boulevard, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
165,Delta XXI,-7.265,112.748,"Surabaya Plaza, Jalan Plaza Boulevard, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","Surabaya Plaza, Jalan Plaza Boulevard, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
166,Taman Apsari,-7.263,112.742,"Jalan Simpang Dukuh, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60011, Indonesia","Jalan Simpang Dukuh, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60011, Indonesia"
