id,Evakuasi,kor_lat,kor_lon,alamat
138,Majapahit Hotel Surabaya- M Gallery Collection,-7.259,112.74,"Jl. Tunjungan No.65, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275"
139,Dinas Pendidikan Provinsi Jawa Timur,-7.258,112.743,"Jl. Genteng Kali No.33, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275"
140,Gedung Cak Durasim,-7.257,112.738,"Jl. Genteng Kali No.85, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275"
141,BG Junction Mall,-7.255,112.734,"Jl. Bubutan No.1-7, Bubutan, Kec. Bubutan, Surabaya, Jawa Timur 60174"
142,Dinas Pemadam Kebakaran Kota Surabaya,-7.249,112.734,"Jl. Pasar Turi No.21, Bubutan, Kec. Bubutan, Surabaya, Jawa Timur 60174"
143,Gedung Kencana,-7.251,112.735,"Jl. Bubutan No.127, Alun-alun Contong, Kec. Bubutan, Surabaya, Jawa Timur 60174"
144,crown Prince Hotel surabaya City Center,-7.25,112.733,"Jl. Basuki Rahmat No.123-127, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
145,SD-SMP Ktaolik Stella Maris,-7.252,112.734,"Jl. Tembaan No.18-22, Bubutan, Kec. Bubutan, Surabaya, Jawa Timur 60174"
146,PT Gudang Garam,-7.25,112.731,"Jl. Pengenal No.7-15, Bubutan, Kec. Bubutan, Surabaya, Jawa Timur 60174"
147,Museum Dr. Soetomo SBY,-7.252,112.735,"Jl. Bubutan No.85-87, Bubutan, Kec. Bubutan, Surabaya, Jawa Timur 60174"
148,SMK Negeri 7 Surabaya,-7.252,112.73,"Jl. Pawiyatan No.2, Bubutan, Kec. Bubutan, Surabaya, Jawa Timur 60174"
149,Asrama Polisi Koblen 7,-7.253,112.732,"PPXM+64P, Jl. Koblen, Bubutan, Kec. Bubutan, Surabaya, Jawa Timur 60174"
150,Sentral Tunjungan,-7.262,112.741,"Jl. Tunjungan No.99, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60275"
151,Swiss- Bellin Tunjungan surabaya,-7.262,112.742,"Jl. Tunjungan No.101, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
152,Grand Inna Tunjungan Hotel Surabaya,-7.263,112.742,"Jl. Gubernur Suryo No.1 - 3, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
153,Stikes - SMK Kesehatan Nusantara,-7.262,112.743,"Jl. Simpang Dukuh No.11, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
154,SMA Trimurti,-7.263,112.743,"Jl. Gubernur Suryo No.3, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
155,Gedung Negara Grahadi,-7.263,112.744,"PPPV+R96, Jl. Gubernur Suryo, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
156,SMA Negeri 6 Surabaya,-7.264,112.744,"PPPV+PQW, Jl. Gubernur Suryo No.11, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
157,Masjid As-Sakinah Alun-Alun Surabaya,-7.263,112.745,"Jl. Gubernur Suryo No.11, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
158,DPRD Kota Surabaya,-7.263,112.745,"Jl. Yos Sudarso No.18 - 22, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60272"
159,Rumah Bahasa Surabaya,-7.263,112.745,"Jl. Yos Sudarso No.15, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
